Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,2.75,2.875,2.625,2.625,7200,2.625
2000-01-04,2.75,3.5,2.625,3.25,122300,3.25
2000-01-05,3.5,3.625,3.25,3.5,74600,3.5
2000-01-06,3.5,3.5625,3.25,3.5,56900,3.5
2000-01-07,3.53125,3.53125,3.0,3.0625,6800,3.0625
2000-01-10,3.09375,3.25,3.0,3.0625,12600,3.0625
2000-01-11,3.1875,3.5,3.0,3.0625,51600,3.0625
2000-01-12,3.0625,3.21875,3.0,3.0,14600,3.0
2000-01-13,3.0625,3.25,3.0,3.25,12800,3.25
2000-01-14,3.375,3.375,3.0,3.125,44500,3.125
2000-01-18,3.09375,3.375,3.0,3.0,32300,3.0
2000-01-19,3.03125,3.125,3.0,3.125,44600,3.125
2000-01-20,2.875,3.0,2.875,3.0,50500,3.0
2000-01-21,2.875,3.0,2.75,3.0,43700,3.0
2000-01-24,3.0625,3.25,2.875,3.25,62200,3.25
2000-01-25,2.84375,3.5,2.8125,3.4375,132500,3.4375
2000-01-26,3.46875,3.5,3.0,3.4375,64600,3.4375
2000-01-27,3.40625,3.46875,3.125,3.125,34700,3.125
2000-01-28,3.03125,3.375,3.03125,3.1875,12600,3.1875
2000-01-31,3.1875,3.1875,3.0,3.0,21800,3.0
2000-02-01,3.125,3.125,3.0,3.0,6900,3.0
2000-02-02,3.125,3.625,3.0,3.0,175500,3.0
2000-02-03,3.125,3.25,3.0,3.09375,62900,3.09375
2000-02-04,3.1875,3.1875,2.9375,3.0,151300,3.0
2000-02-07,3.15625,3.5,3.0,3.34375,307400,3.34375
2000-02-08,3.2968800000000003,3.71875,3.25,3.375,164500,3.375
2000-02-09,3.5625,3.9375,3.5625,3.625,276900,3.625
2000-02-10,3.75,6.5,3.75,4.5,640400,4.5
2000-02-11,5.0,5.625,5.0,5.1875,206400,5.1875
2000-02-14,5.21875,6.3125,5.21875,5.875,209600,5.875
2000-02-15,6.125,6.25,5.1875,5.25,95000,5.25
2000-02-16,5.25,5.25,4.6875,4.875,99600,4.875
2000-02-17,5.125,5.5,4.5,4.75,75500,4.75
2000-02-18,5.0,5.25,4.625,5.25,131100,5.25
2000-02-22,5.3125,6.5,5.0625,5.75,205600,5.75
2000-02-23,5.8125,6.5,5.5,6.375,161800,6.375
2000-02-24,6.203119999999999,6.375,5.5,6.0,70600,6.0
2000-02-25,5.5625,6.0,5.25,5.25,45100,5.25
2000-02-28,5.375,5.75,5.3125,5.6875,27700,5.6875
2000-02-29,5.6875,6.0,5.375,5.4375,76500,5.4375
2000-03-01,5.40625,6.875,5.375,6.3125,271300,6.3125
2000-03-02,6.375,8.0,6.25,7.375,795800,7.375
2000-03-03,8.90625,10.125,8.25,10.0,831400,10.0
2000-03-06,10.5,10.5625,8.9375,9.625,539600,9.625
